,_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,Latitude,Longitude
0,677b2b4ab2e729f9a8725e54,Ciência de dados com python,livros,79.28,1.8058605601,01/02/2022,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
1,677b2b4ab2e729f9a8725e58,Dashboards com Power BI,livros,41.76,2.7546988942,01/02/2022,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
2,677b2b4ab2e729f9a8725e90,Iniciando em programação,livros,83.18,5.1160969115,01/04/2021,Isabella Pereira,SP,3,cartao_credito,4,-22.19,-48.79
3,677b2b4ab2e729f9a8725eb1,Dashboards com Power BI,livros,46.58,0.0,01/06/2020,Rafael Costa,PR,1,cartao_credito,4,-24.89,-51.55
4,677b2b4ab2e729f9a8725ed1,Dashboards com Power BI,livros,46.87,0.0,01/07/2021,Beatriz Moraes,RS,5,cartao_credito,8,-30.17,-53.5
5,677b2b4ab2e729f9a8725ee3,Modelagem preditiva,livros,105.99,3.2280877057,01/07/2022,Thiago Silva,SP,1,cartao_credito,4,-22.19,-48.79
6,677b2b4ab2e729f9a8725ef8,Modelagem preditiva,livros,101.54,14.5010858917,01/08/2021,Rafael Costa,DF,3,cartao_credito,4,-15.83,-47.86
7,677b2b4ab2e729f9a8725e28,Iniciando em programação,livros,43.84,0.0,01/01/2020,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
8,677b2b4ab2e729f9a8725e4a,Ciência de dados com python,livros,72.75,1.458157705,01/02/2021,Beatriz Moraes,PR,4,cartao_credito,2,-24.89,-51.55
9,677b2b4ab2e729f9a8725e4d,Iniciando em programação,livros,61.73,0.0,01/02/2021,Beatriz Moraes,SP,4,cartao_credito,1,-22.19,-48.79
10,677b2b4ab2e729f9a8725e50,Dashboards com Power BI,livros,57.63,9.3105595123,01/02/2022,Bianca Santos,SP,3,cartao_credito,1,-22.19,-48.79
11,677b2b4ab2e729f9a8725e60,Modelagem preditiva,livros,70.49,1.337819504,01/02/2023,Isabella Pereira,PE,4,cupom,1,-8.38,-37.86
12,677b2b4ab2e729f9a8725e7e,Modelagem preditiva,livros,71.64,1.3990535443,01/03/2023,Mariana Ferreira,SP,4,cartao_credito,2,-22.19,-48.79
13,677b2b4ab2e729f9a8725e80,Dashboards com Power BI,livros,43.35,3.2481049178,01/03/2023,Rafael Costa,BA,5,cartao_credito,2,-13.29,-41.71
14,677b2b4ab2e729f9a8725e84,Iniciando em programação,livros,65.86,4.4466946987,01/04/2020,Rafael Costa,SP,5,cartao_credito,4,-22.19,-48.79
15,677b2b4ab2e729f9a8725ea5,Ciência de dados com python,livros,58.61,4.0606540096,01/05/2021,Beatriz Moraes,PR,4,cartao_credito,1,-24.89,-51.55
16,677b2b4ab2e729f9a8725eb3,Dashboards com Power BI,livros,42.09,0.0,01/06/2020,Felipe Santos,SP,5,cartao_credito,8,-22.19,-48.79
17,677b2b4ab2e729f9a8725eeb,Iniciando em programação,livros,55.86,6.1381932733,01/08/2020,Pedro Gomes,CE,3,cartao_credito,9,-5.2,-39.53
18,677b2b4ab2e729f9a8725f2a,Ciência de dados com python,livros,80.32,1.8612374314,01/10/2021,Rafael Costa,SP,4,cartao_credito,2,-22.19,-48.79
19,677b2b4ab2e729f9a8725e48,Ciência de dados com python,livros,86.13,5.2731755368,01/02/2021,Camila Ribeiro,RJ,4,cartao_credito,3,-22.25,-42.66
20,677b2b4ab2e729f9a8725e59,Ciência de dados com python,livros,82.15,1.958679426,01/02/2023,Bianca Santos,SP,5,cartao_credito,2,-22.19,-48.79
21,677b2b4ab2e729f9a8725e61,Dashboards com Power BI,livros,40.98,0.0,01/02/2023,Beatriz Moraes,RJ,5,cartao_credito,1,-22.25,-42.66
22,677b2b4ab2e729f9a8725e7a,Ciência de dados com python,livros,50.51,10.2450858314,01/03/2022,Thiago Silva,MG,1,cartao_credito,6,-18.1,-44.38
23,677b2b4ab2e729f9a8725e98,Ciência de dados com python,livros,75.04,1.5800933158,01/04/2022,Bianca Santos,RO,2,cartao_credito,7,-10.83,-63.34
24,677b2b4ab2e729f9a8725eda,Iniciando em programação,livros,56.9,3.560858347,01/07/2021,Mariana Ferreira,SP,4,boleto,1,-22.19,-48.79
25,677b2b4ab2e729f9a8725f38,Dashboards com Power BI,livros,54.59,3.18987918,01/10/2022,Juliana Costa,SP,3,cartao_credito,8,-22.19,-48.79
26,677b2b4ab2e729f9a8725fcd,Iniciando em programação,livros,88.6,5.6060986304,02/03/2023,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
27,677b2b4ab2e729f9a8725fcf,Ciência de dados com python,livros,72.73,1.4570927652,02/03/2023,Rafael Costa,PR,5,cartao_credito,2,-24.89,-51.55
28,677b2b4ab2e729f9a8725f3b,Iniciando em programação,livros,64.22,4.3079369753,01/11/2020,Thiago Silva,CE,1,boleto,1,-5.2,-39.53
29,677b2b4ab2e729f9a8725f3e,Iniciando em programação,livros,40.74,0.0,01/11/2020,Felipe Santos,SP,5,cartao_credito,8,-22.19,-48.79
30,677b2b4ab2e729f9a8725f41,Iniciando em programação,livros,60.27,3.4923220922,01/11/2021,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
31,677b2b4ab2e729f9a8725f4a,Dashboards com Power BI,livros,51.67,3.0343979645,01/11/2022,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
32,677b2b4ab2e729f9a8725f70,Dashboards com Power BI,livros,49.69,10.4438941213,02/01/2020,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
