,_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,Latitude,Longitude
0,677b2b4ab2e729f9a8725e38,Jogo de copos,utilidades domesticas,37.44,2.8819825404,01/01/2022,Thiago Silva,RJ,4,cartao_credito,4,-22.25,-42.66
1,677b2b4ab2e729f9a8725e3b,Fogão,eletrodomesticos,607.49,33.2354300998,01/01/2022,Juliana Costa,MG,5,cartao_credito,3,-18.1,-44.38
2,677b2b4ab2e729f9a8725e3e,Boneca bebê,brinquedos,50.72,3.2317919389,01/01/2023,Isabella Pereira,SP,4,boleto,1,-22.19,-48.79
3,677b2b4ab2e729f9a8725e47,Cama king,moveis,660.46,35.4506339784,01/02/2021,Juliana Costa,RJ,5,cartao_credito,3,-22.25,-42.66
4,677b2b4ab2e729f9a8725e4c,Headset,eletronicos,340.22,15.7001305473,01/02/2021,Thiago Silva,SP,2,cupom,1,-22.19,-48.79
5,677b2b4ab2e729f9a8725e4e,Jogo de panelas,utilidades domesticas,126.59,4.3249757326,01/02/2021,Juliana Costa,RS,1,cartao_credito,3,-30.17,-53.5
6,677b2b4ab2e729f9a8725e4f,Guitarra,instrumentos musicais,1158.33,62.2086923009,01/02/2022,Bruno Rodrigues,SP,4,cartao_credito,2,-22.19,-48.79
7,677b2b4ab2e729f9a8725e52,Corda de pular,esporte e lazer,21.88,0.0,01/02/2022,Larissa Alves,SC,5,cartao_credito,5,-27.45,-50.95
8,677b2b4ab2e729f9a8725e53,Mesa de jantar,moveis,264.63,14.6218559113,01/02/2022,Thiago Silva,MG,5,cartao_credito,4,-18.1,-44.38
9,677b2b4ab2e729f9a8725e54,Ciência de dados com python,livros,79.28,1.8058605601,01/02/2022,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
10,677b2b4ab2e729f9a8725e56,Mochila,esporte e lazer,147.99,5.4644613527,01/02/2022,João Souza,SP,4,boleto,1,-22.19,-48.79
11,677b2b4ab2e729f9a8725e57,Poltrona,moveis,251.37,10.969135344,01/02/2022,Isabella Pereira,AL,4,boleto,1,-9.62,-36.82
